Def Pass Rank,Team,GP,CMP,ATT,CMP%,PYA,PYPA,PYPG,TD,INT,SCK,Week
1, SF,1,8,17,47.1,105,6.2,105,2,1,2,week 1
2, CAR,1,18,34,52.9,138,4.1,138,1,0,1,week 1
3, CHI,1,13,28,46.4,155,5.5,155,0,1,2,week 1
4, TEN,1,17,21,81,156,7.4,156,2,1,5,week 1
5, TB,1,21,42,50,173,4.1,173,0,1,4,week 1
6, DEN,1,23,28,82.1,177,6.3,177,2,0,2,week 1
7, KC,1,24,38,63.2,179,4.7,179,2,0,3,week 1
8, BUF,1,29,41,70.7,191,4.7,191,1,3,7,week 1
9, CIN,1,21,38,55.3,192,5.1,192,1,0,1,week 1
10, MIA,1,21,30,70,193,6.4,193,1,1,2,week 1
11, DAL,1,18,27,66.7,195,7.2,195,1,1,2,week 1
12, PHI,1,21,37,56.8,205,5.5,205,2,1,1,week 1
13, CLE,1,16,27,59.3,207,7.7,207,1,1,4,week 1
14, NYJ,1,17,30,56.7,211,7,211,3,1,2,week 1
15, NO,1,20,33,60.6,215,6.5,215,0,0,0,week 1
16, IND,1,23,37,62.2,222,6,222,2,0,3,week 1
17, MIN,1,26,39,66.7,227,5.8,227,0,1,4,week 1
18, ATL,1,23,34,67.6,234,6.9,234,2,0,4,week 1
19, DET,1,18,32,56.3,239,7.5,239,0,0,1,week 1
20, NE,1,23,33,69.7,242,7.3,242,1,0,3,week 1
21, LAC,1,22,37,59.5,256,6.9,256,2,3,6,week 1
22, WAS,1,24,42,57.1,260,6.2,260,1,1,2,week 1
23, NYG,1,20,33,60.6,266,8.1,266,2,0,1,week 1
24, GB,1,23,32,71.9,269,8.4,269,2,0,1,week 1
25, LV,1,26,34,76.5,279,8.2,279,3,0,0,week 1
26, LAR,1,26,31,83.9,292,9.4,292,3,2,2,week 1
27, BAL,1,37,59,62.7,297,5,297,1,1,3,week 1
28, PIT,1,33,53,62.3,299,5.6,299,2,4,7,week 1
29, JAX,1,27,41,65.9,305,7.4,305,4,2,1,week 1
30, SEA,1,29,42,69,330,7.9,330,1,0,2,week 1
31, HOU,1,32,50,64,340,6.8,340,1,1,2,week 1
32, AZ,1,30,39,76.9,360,9.2,360,5,0,0,week 1
1, GB,1,7,11,63.6,48,4.4,48,0,1,3,week 2
2, BUF,1,12,24,50,107,4.5,107,0,2,2,week 2
3, NYG,1,14,29,48.3,129,4.4,129,1,0,2,week 2
4, NE,1,21,33,63.6,152,4.6,152,1,1,3,week 2
5, DEN,1,19,38,50,154,4.1,154,0,0,3,week 2
6, CAR,1,22,34,64.7,162,4.8,162,1,0,3,week 2
7, JAX,1,16,30,53.3,164,5.5,164,0,3,5,week 2
8, DAL,1,24,36,66.7,165,4.6,165,1,0,6,week 2
9, LAR,1,17,26,65.4,171,6.6,171,2,2,3,week 2
10, SF,1,24,31,77.4,180,5.8,180,0,2,2,week 2
11, SEA,1,15,24,62.5,184,7.7,184,1,0,1,week 2
12, NO,1,18,34,52.9,188,5.5,188,1,0,1,week 2
13, HOU,1,14,31,45.2,201,6.5,201,1,1,3,week 2
14, PHI,1,27,46,58.7,202,4.4,202,1,3,2,week 2
15, TB,1,25,40,62.5,206,5.2,206,1,3,6,week 2
16, CHI,1,19,25,76,211,8.4,211,2,0,3,week 2
17, NYJ,1,22,27,81.5,221,8.2,221,1,1,1,week 2
18, LAC,1,24,35,68.6,226,6.5,226,2,0,1,week 2
19, CIN,1,19,31,61.3,230,7.4,230,1,0,1,week 2
20, WAS,1,20,34,58.8,234,6.9,234,4,0,3,week 2
21, IND,1,25,30,83.3,235,7.8,235,2,0,0,week 2
22, AZ,1,25,39,64.1,244,6.3,244,2,0,1,week 2
23, PIT,1,21,35,60,252,7.2,252,1,1,0,week 2
24, LV,1,31,49,63.3,270,5.5,270,1,1,1,week 2
25, ATL,1,27,36,75,272,7.6,272,3,2,1,week 2
26, DET,1,30,46,65.2,308,6.7,308,3,1,5,week 2
27, CLE,1,27,45,60,309,6.9,309,4,0,2,week 2
28, TEN,1,26,40,65,313,7.8,313,4,0,1,week 2
29, MIA,1,21,29,72.4,318,11,318,3,0,0,week 2
30, MIN,1,26,31,83.9,323,10.4,323,1,1,3,week 2
31, KC,1,33,48,68.8,326,6.8,326,3,1,2,week 2
32, BAL,1,36,50,72,461,9.2,461,6,2,1,week 2
1, HOU,1,8,17,47.1,82,4.8,82,0,2,5,week 3
2, NO,1,12,25,48,148,5.9,148,1,0,3,week 3
3, PHI,1,25,43,58.1,153,3.6,153,0,0,9,week 3
4, SF,1,20,33,60.6,160,4.8,160,0,0,4,week 3
5, DAL,1,20,37,54.1,169,4.6,169,0,1,5,week 3
6, BUF,1,13,20,65,171,8.6,171,1,0,2,week 3
7, KC,1,27,37,73,177,4.8,177,2,0,5,week 3
8, DEN,1,18,29,62.1,179,6.2,179,1,1,4,week 3
9, CLE,1,20,32,62.5,204,6.4,204,0,0,1,week 3
10, PIT,1,21,31,67.7,205,6.6,205,2,0,2,week 3
11, NE,1,18,29,62.1,206,7.1,206,4,1,4,week 3
12, SEA,1,13,20,65,207,10.4,207,1,1,3,week 3
13, NYG,1,21,31,67.7,215,6.9,215,1,0,0,week 3
14, CHI,1,20,32,62.5,237,7.4,237,1,2,1,week 3
15, AZ,1,18,25,72,239,9.6,239,0,0,1,week 3
16, TB,1,27,35,77.1,248,7.1,248,2,1,1,week 3
17, DET,1,24,41,58.5,250,6.1,250,2,0,1,week 3
18, GB,1,31,42,73.8,251,6,251,1,0,3,week 3
19, LV,1,19,27,70.4,252,9.3,252,1,1,1,week 3
20, CIN,1,28,52,53.8,252,4.8,252,0,2,4,week 3
21, IND,1,20,36,55.6,257,7.1,257,1,1,1,week 3
22, NYJ,1,23,36,63.9,261,7.3,261,3,0,2,week 3
23, LAC,1,28,39,71.8,262,6.7,262,3,0,0,week 3
24, MIN,1,25,41,61,277,6.8,277,1,1,0,week 3
25, JAX,1,25,45,55.6,286,6.4,286,1,1,1,week 3
26, LAR,1,37,58,63.8,295,5.1,295,0,0,2,week 3
27, TEN,1,27,45,60,300,6.7,300,2,1,1,week 3
