Def Rec Rank,Team,GP,REC,RY,YP,RYPG,TD,FUM,FL,Week
1, SF,1,8,105,6.2,105,2,0,0,week 1
2, CAR,1,18,138,4.1,138,1,1,0,week 1
3, CHI,1,13,155,5.5,155,0,2,1,week 1
4, TEN,1,17,156,7.4,156,2,2,1,week 1
5, TB,1,21,173,4.1,173,0,0,0,week 1
6, DEN,1,23,177,6.3,177,2,3,1,week 1
7, KC,1,24,179,4.7,179,2,3,0,week 1
8, BUF,1,29,191,4.7,191,1,1,0,week 1
9, CIN,1,21,192,5.1,192,1,2,0,week 1
10, MIA,1,21,193,6.4,193,1,2,2,week 1
11, DAL,1,18,195,7.2,195,1,0,0,week 1
12, PHI,1,21,205,5.5,205,2,1,0,week 1
13, CLE,1,16,207,7.7,207,1,5,0,week 1
14, NYJ,1,17,211,7,211,3,1,0,week 1
15, NO,1,20,215,6.5,215,0,3,2,week 1
16, IND,1,23,222,6,222,2,1,1,week 1
17, MIN,1,26,227,5.8,227,0,1,1,week 1
18, ATL,1,23,234,6.9,234,2,1,1,week 1
19, DET,1,18,239,7.5,239,0,0,0,week 1
20, NE,1,23,242,7.3,242,1,2,0,week 1
21, LAC,1,22,256,6.9,256,2,3,0,week 1
22, WAS,1,24,260,6.2,260,1,1,0,week 1
23, NYG,1,20,266,8.1,266,2,2,1,week 1
24, GB,1,23,269,8.4,269,2,0,0,week 1
25, LV,1,26,279,8.2,279,3,1,0,week 1
26, LAR,1,26,292,9.4,292,3,2,2,week 1
27, BAL,1,37,297,5,297,1,2,1,week 1
28, PIT,1,33,299,5.6,299,2,2,1,week 1
29, JAX,1,27,305,7.4,305,4,1,1,week 1
30, SEA,1,29,330,7.9,330,1,2,2,week 1
31, HOU,1,32,340,6.8,340,1,5,1,week 1
32, AZ,1,30,360,9.2,360,5,5,1,week 1
1, GB,1,7,48,4.4,48,0,1,0,week 2
2, BUF,1,12,107,4.5,107,0,3,2,week 2
3, NYG,1,14,129,4.4,129,1,3,2,week 2
4, NE,1,21,152,4.6,152,1,1,1,week 2
5, DEN,1,19,154,4.1,154,0,2,0,week 2
6, CAR,1,22,162,4.8,162,1,0,0,week 2
7, JAX,1,16,164,5.5,164,0,2,0,week 2
8, DAL,1,24,165,4.6,165,1,1,0,week 2
9, LAR,1,17,171,6.6,171,2,2,1,week 2
10, SF,1,24,180,5.8,180,0,1,1,week 2
11, SEA,1,15,184,7.7,184,1,1,0,week 2
12, NO,1,18,188,5.5,188,1,1,1,week 2
13, HOU,1,14,201,6.5,201,1,0,0,week 2
14, PHI,1,27,202,4.4,202,1,1,0,week 2
15, TB,1,25,206,5.2,206,1,4,2,week 2
16, CHI,1,19,211,8.4,211,2,3,1,week 2
17, NYJ,1,22,221,8.2,221,1,0,0,week 2
18, LAC,1,24,226,6.5,226,2,0,0,week 2
19, CIN,1,19,230,7.4,230,1,1,1,week 2
20, WAS,1,20,234,6.9,234,4,0,0,week 2
21, IND,1,25,235,7.8,235,2,0,0,week 2
22, AZ,1,25,244,6.3,244,2,2,1,week 2
23, PIT,1,21,252,7.2,252,1,0,0,week 2
24, LV,1,31,270,5.5,270,1,0,0,week 2
25, ATL,1,27,272,7.6,272,3,1,1,week 2
26, DET,1,30,308,6.7,308,3,1,0,week 2
27, CLE,1,27,309,6.9,309,4,2,1,week 2
28, TEN,1,26,313,7.8,313,4,0,0,week 2
29, MIA,1,21,318,11,318,3,1,0,week 2
30, MIN,1,26,323,10.4,323,1,1,0,week 2
31, KC,1,33,326,6.8,326,3,0,0,week 2
32, BAL,1,36,461,9.2,461,6,0,0,week 2
1, HOU,1,8,82,4.8,82,0,2,0,week 3
2, NO,1,12,148,5.9,148,1,0,0,week 3
3, PHI,1,25,153,3.6,153,0,2,1,week 3
4, SF,1,20,160,4.8,160,0,2,0,week 3
5, DAL,1,20,169,4.6,169,0,0,0,week 3
6, BUF,1,13,171,8.6,171,1,0,0,week 3
7, KC,1,27,177,4.8,177,2,2,1,week 3
8, DEN,1,18,179,6.2,179,1,3,2,week 3
9, CLE,1,20,204,6.4,204,0,2,1,week 3
10, PIT,1,21,205,6.6,205,2,0,0,week 3
11, NE,1,18,206,7.1,206,4,1,1,week 3
12, SEA,1,13,207,10.4,207,1,2,1,week 3
13, NYG,1,21,215,6.9,215,1,0,0,week 3
14, CHI,1,20,237,7.4,237,1,3,0,week 3
15, AZ,1,18,239,9.6,239,0,1,1,week 3
16, TB,1,27,248,7.1,248,2,2,1,week 3
17, DET,1,24,250,6.1,250,2,2,1,week 3
18, GB,1,31,251,6,251,1,3,2,week 3
19, CIN,1,28,252,4.8,252,0,3,2,week 3
20, LV,1,19,252,9.3,252,1,1,0,week 3
21, IND,1,20,257,7.1,257,1,2,1,week 3
22, NYJ,1,23,261,7.2,261,3,2,1,week 3
23, LAC,1,28,262,6.7,262,3,0,0,week 3
24, MIN,1,25,277,6.8,277,1,0,0,week 3
25, JAX,1,25,286,6.4,286,1,1,1,week 3
26, LAR,1,37,295,5.1,295,0,1,0,week 3
27, TEN,1,27,300,6.7,300,2,2,0,week 3
28, BAL,1,22,302,9.4,302,0,3,1,week 3
29, ATL,1,32,308,7,308,2,0,0,week 3
30, WAS,1,22,328,9.4,328,3,1,0,week 3
31, CAR,1,25,342,8.3,342,1,4,1,week 3
32, MIA,1,42,382,6.1,382,2,4,1,week 3
1, CHI,1,9,71,4.4,71,0,2,1,week 4
2, GB,1,15,104,5,104,1,1,1,week 4
3, IND,1,17,116,5.5,116,2,0,0,week 4
4, CLE,1,7,131,6.9,131,0,1,0,week 4
5, BUF,1,20,134,4.6,134,1,0,0,week 4
6, PHI,1,11,148,6.4,148,2,5,4,week 4
7, NYG,1,11,155,7,155,0,6,3,week 4
8, DAL,1,25,155,3.7,155,1,1,0,week 4
9, DEN,1,21,173,5.1,173,0,0,0,week 4
10, NYJ,1,17,178,6.8,178,0,2,0,week 4
11, AZ,1,22,180,5,180,1,4,1,week 4
12, JAX,1,16,191,7.6,191,0,1,0,week 4
13, SF,1,32,200,4.2,200,0,1,1,week 4
14, BAL,1,19,201,5.6,201,1,2,1,week 4
15, CAR,1,23,206,6.4,206,2,2,0,week 4
16, LV,1,17,214,8.6,214,2,1,1,week 4
17, LAC,1,26,215,6.1,215,2,1,0,week 4
18, WAS,1,15,217,8,217,2,0,0,week 4
19, ATL,1,21,226,6.5,226,0,1,1,week 4
20, MIN,1,20,227,8.1,227,1,2,2,week 4
21, TB,1,23,228,6.2,228,3,0,0,week 4
22, LAR,1,16,239,8.9,239,1,1,0,week 4
23, NE,1,21,244,7,244,2,2,1,week 4
24, PIT,1,19,250,6.8,250,2,0,0,week 4
25, NO,1,26,263,6.7,263,1,0,0,week 4
26, CIN,1,22,293,7.9,293,1,0,0,week 4
27, MIA,1,21,304,9.5,304,2,0,0,week 4
28, DET,1,23,320,10.7,320,2,1,1,week 4
29, TEN,1,27,327,8.8,327,2,3,2,week 4
30, HOU,1,27,338,8.7,338,2,2,1,week 4
31, KC,1,39,373,7.2,373,3,2,2,week 4
32, SEA,1,27,375,9.4,375,4,1,1,week 4
