Def Rush Rank,Team,GP,ATT,RY,YPC,RYPG,TD,FUM,FL,Week
1, BUF,1,20,42,2.1,42,1,0,0,Wild Card
2, BAL,1,18,51,2.8,51,1,2,1,Wild Card
3, DAL,1,12,52,4.3,52,0,2,0,Wild Card
4, NYG,1,16,61,3.8,61,1,1,0,Wild Card
5, JAX,1,23,67,2.9,67,2,1,0,Wild Card
6, SF,1,25,104,4.2,104,1,1,1,Wild Card
7, MIA,1,26,107,4.1,107,1,4,1,Wild Card
8, LAC,1,21,117,5.6,117,0,1,1,Wild Card
9, TB,1,35,128,3.7,128,1,0,0,Wild Card
10, MIN,1,30,142,4.7,142,2,1,0,Wild Card
11, CIN,1,35,155,4.4,155,0,2,1,Wild Card
12, SEA,1,33,181,5.5,181,1,0,0,Wild Card
1, CIN,1,19,63,3.3,63,1,0,0,Divisional
2, SF,1,22,76,3.5,76,0,0,0,Divisional
3, DAL,1,32,113,3.5,113,1,1,1,Divisional
4, PHI,1,20,118,5.9,118,1,1,0,Divisional
5, JAX,1,30,144,4.8,144,0,0,0,Divisional
6, KC,1,19,144,7.6,144,1,1,1,Divisional
7, BUF,1,34,172,5.1,172,1,0,0,Divisional
8, NYG,1,44,268,6.1,268,3,1,0,Divisional
1, CIN,1,20,42,2.1,42,0,2,1,Conference Championship
2, KC,1,17,71,4.2,71,1,0,0,Conference Championship
3, PHI,1,24,81,3.4,81,1,3,3,Conference Championship
4, SF,1,44,148,3.4,148,4,0,0,Conference Championship
1, KC,1,32,115,3.6,115,3,2,1,Super Bowl
2, PHI,1,26,158,6.1,158,1,1,0,Super Bowl
