Def Rush Rank,Team,GP,ATT,RY,YPC,RYPG,TD,FUM,FL,Week
1, BUF,1,18,52,2.9,52,0,1,0,week 1
2, CLE,1,19,54,2.8,54,2,5,0,week 1
3, NYJ,1,21,63,3,63,0,1,0,week 1
4, LAC,1,13,64,4.9,64,0,3,0,week 1
5, NE,1,23,65,2.8,65,0,2,0,week 1
6, TB,1,18,71,3.9,71,0,0,0,week 1
7, CIN,1,22,75,3.4,75,0,2,0,week 1
8, DEN,1,19,76,4,76,0,3,1,week 1
9, LV,1,31,76,2.5,76,0,1,0,week 1
10, IND,1,28,77,2.8,77,0,1,1,week 1
11, MIA,1,22,78,3.5,78,0,2,2,week 1
12, BAL,1,17,83,4.9,83,0,2,1,week 1
13, JAX,1,28,85,3,85,0,1,1,week 1
14, NYG,1,26,93,3.6,93,0,2,1,week 1
15, SF,1,37,99,2.7,99,1,0,0,week 1
16, KC,1,22,103,4.7,103,1,3,0,week 1
17, SEA,1,20,103,5.2,103,0,2,2,week 1
18, MIN,1,18,111,6.2,111,1,1,1,week 1
19, LAR,1,25,121,4.8,121,1,2,2,week 1
20, WAS,1,18,123,6.8,123,1,1,0,week 1
21, GB,1,28,126,4.5,126,0,0,0,week 1
22, AZ,1,27,128,4.7,128,1,5,1,week 1
23, PIT,1,34,133,3.9,133,0,2,1,week 1
24, ATL,1,19,151,7.9,151,1,1,1,week 1
25, DAL,1,33,152,4.6,152,0,0,0,week 1
26, CHI,1,37,176,4.8,176,1,2,1,week 1
27, HOU,1,38,177,4.7,177,1,5,1,week 1
28, PHI,1,28,181,6.5,181,3,1,0,week 1
29, NO,1,38,201,5.3,201,2,3,2,week 1
30, DET,1,39,216,5.5,216,4,0,0,week 1
31, CAR,1,39,217,5.6,217,1,1,0,week 1
32, TEN,1,32,238,7.4,238,1,2,1,week 1
1, SF,1,14,36,2.6,36,0,1,1,week 2
2, JAX,1,13,54,4.2,54,0,2,0,week 2
3, PHI,1,11,62,5.6,62,0,1,0,week 2
4, ATL,1,26,65,2.5,65,1,1,1,week 2
5, NO,1,30,72,2.4,72,0,1,1,week 2
6, KC,1,24,75,3.1,75,0,0,0,week 2
7, BUF,1,27,80,3,80,1,3,2,week 2
8, AZ,1,21,80,3.8,80,0,2,1,week 2
9, DEN,1,18,80,4.4,80,0,2,0,week 2
10, BAL,1,18,86,4.8,86,0,0,0,week 2
11, DET,1,21,88,4.2,88,1,1,0,week 2
12, DAL,1,25,89,3.6,89,0,1,0,week 2
13, LAR,1,27,90,3.3,90,0,2,1,week 2
14, NE,1,22,91,4.1,91,0,1,1,week 2
15, LAC,1,18,93,5.2,93,0,0,0,week 2
16, CLE,1,20,93,4.7,93,0,2,1,week 2
17, IND,1,37,96,2.6,96,1,0,0,week 2
18, TEN,1,24,101,4.2,101,0,0,0,week 2
19, TB,1,20,102,5.1,102,0,4,2,week 2
20, CAR,1,33,103,3.1,103,0,0,0,week 2
21, CIN,1,27,107,4,107,1,1,1,week 2
22, PIT,1,31,124,4,124,1,0,0,week 2
23, LV,1,28,143,5.1,143,2,0,0,week 2
24, NYG,1,23,146,6.3,146,0,3,2,week 2
25, HOU,1,31,149,4.8,149,0,0,0,week 2
26, MIA,1,25,155,6.2,155,1,1,0,week 2
27, MIN,1,34,163,4.8,163,2,1,0,week 2
28, GB,1,27,180,6.7,180,1,1,0,week 2
29, NYJ,1,37,184,5,184,3,0,0,week 2
30, SEA,1,45,189,4.2,189,2,1,0,week 2
31, WAS,1,24,191,8,191,0,0,0,week 2
32, CHI,1,38,203,5.3,203,1,3,1,week 2
1, JAX,1,12,26,2.2,26,0,1,1,week 3
2, GB,1,14,34,2.4,34,0,3,2,week 3
3, BUF,1,17,41,2.4,41,2,0,0,week 3
4, IND,1,23,58,2.5,58,1,2,1,week 3
5, TB,1,25,67,2.7,67,0,2,1,week 3
6, NYJ,1,28,69,2.5,69,0,2,1,week 3
7, LAR,1,21,70,3.3,70,0,1,0,week 3
8, WAS,1,30,72,2.4,72,0,1,0,week 3
9, CIN,1,20,76,3.8,76,0,3,2,week 3
10, KC,1,27,82,3,82,0,2,1,week 3
11, CAR,1,22,84,3.8,84,1,4,1,week 3
12, PHI,1,22,87,4,87,1,2,1,week 3
13, DEN,1,19,88,4.6,88,0,3,2,week 3
14, CHI,1,24,92,3.8,92,1,3,0,week 3
15, TEN,1,19,96,5.1,96,0,2,0,week 3
16, AZ,1,20,100,5,100,2,1,1,week 3
17, SF,1,33,101,3.1,101,1,2,0,week 3
18, CLE,1,22,104,4.7,104,2,2,1,week 3
19, LV,1,27,109,4,109,2,1,0,week 3
20, ATL,1,23,112,4.9,112,0,0,0,week 3
21, MIA,1,23,115,5,115,0,4,1,week 3
22, DET,1,25,123,4.9,123,2,2,1,week 3
23, MIN,1,35,139,4,139,2,0,0,week 3
24, BAL,1,28,145,5.2,145,3,3,1,week 3
25, NO,1,31,145,4.7,145,0,0,0,week 3
26, LAC,1,36,151,4.2,151,1,0,0,week 3
27, DAL,1,25,167,6.7,167,1,0,0,week 3
28, PIT,1,38,171,4.5,171,1,0,0,week 3
29, NYG,1,30,176,5.9,176,1,0,0,week 3
30, SEA,1,31,179,5.8,179,2,2,1,week 3
31, NE,1,26,188,7.2,188,1,1,1,week 3
32, HOU,1,40,281,7,281,2,2,0,week 3
1, KC,1,6,3,0.5,3,1,2,2,week 4
2, TEN,1,23,38,1.7,38,0,3,2,week 4
3, AZ,1,13,40,3.1,40,0,4,1,week 4
4, SF,1,18,57,3.2,57,0,1,1,week 4
5, WAS,1,29,62,2.1,62,0,0,0,week 4
6, MIA,1,30,67,2.2,67,1,0,0,week 4
7, PHI,1,19,71,3.7,71,0,5,4,week 4
8, HOU,1,27,81,3,81,2,2,1,week 4
9, NO,1,25,81,3.2,81,1,0,0,week 4
10, LV,1,20,85,4.3,85,1,1,1,week 4
11, CIN,1,22,85,3.9,85,0,0,0,week 4
12, LAR,1,22,88,4,88,1,1,0,week 4
13, PIT,1,29,98,3.4,98,1,0,0,week 4
14, MIN,1,27,111,4.1,111,2,2,2,week 4
15, NYJ,1,31,119,3.8,119,2,2,0,week 4
16, BAL,1,25,125,5,125,1,2,1,week 4
17, IND,1,28,127,4.5,127,1,0,0,week 4
18, LAC,1,14,131,9.4,131,1,1,0,week 4
19, CAR,1,37,132,3.6,132,1,2,0,week 4
20, DAL,1,27,142,5.3,142,0,1,0,week 4
21, SEA,1,25,145,5.8,145,2,1,1,week 4
22, NYG,1,32,149,4.7,149,0,6,3,week 4
23, BUF,1,33,162,4.9,162,1,0,0,week 4
24, GB,1,33,167,5.1,167,1,1,1,week 4
25, ATL,1,35,177,5.1,177,2,1,1,week 4
26, TB,1,37,189,5.1,189,2,0,0,week 4
27, NE,1,35,199,5.7,199,1,2,1,week 4
28, CLE,1,35,202,5.8,202,2,1,0,week 4
29, JAX,1,50,210,4.2,210,4,1,0,week 4
