Def Pass Rank,Team,GP_pass_def,CMP_def,ATT_def,CMP%_def,PYA,PYPA_def,PYPG_def,TD_pass_def,INT_def,SCK_def,Week,Def Rec Rank,GP_rec_def,REC_def,RY_def,YP_def,RYPG_def,TD_rec_def,FUM_def,FL_def,Def Rush Rank,GP_def,ATT_rush_def,RY_rush,YPC,RYPG_rush,TD_def,FUM_rush,FL_rush,Off Pass Rank,GP_pass_off,ATT_off,CMP_off,CMP%_off,PY,PYPA_off,PYPG_off,TD_pass_off,INT_off,SCK_off,Off Rec Rank,GP_rec_off,REC_off,RY_off,YP_off,RYPG_off,TD_rec_off,FUM_off,FL_off,Off Rush Rank,GP_off,ATT_rush_off,CMP_rush,CMP%_rush,PY_rush,PYPA_rush,PYPG_rush,TD_off,Kick Rank,GP_kicking,FGM,FGA,FG%,XPA,XPM,XP%,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PB,PR,PRYDS,PRYPG,Return Rank,GP,KR,KRYDS,KRYPG,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRLNG,PRT
1, BAL,1,23,32,71.9,183,5.7,183,1,0,4,Wild Card,1,1,23,183,5.7,183,1,2,1,2,1,18,51,2.8,51,1,2,1,10,1,29,17,58.6,209,7.2,209,2,1,2,10,1,17,209,7.2,209,2,2,1,2,1,35,155,4.4,155,0,2,1,5,1,1,1,100.0,2,2,100.0,7,1,3,142,47.3,0,2,26,13.0,8,1,3,65,21.7,29,0,2,26,13.0,16,0
2, BUF,1,18,45,40.0,189,4.2,189,1,2,4,Wild Card,2,1,18,189,4.2,189,1,0,0,1,1,20,42,2.1,42,1,0,0,3,1,39,23,59.0,316,8.1,316,3,2,7,3,1,23,316,8.1,316,3,4,1,6,1,26,107,4.1,107,1,4,1,4,1,2,2,100.0,4,4,100.0,6,1,5,239,47.8,0,3,17,5.7,4,1,2,56,28.0,30,0,3,17,5.7,11,0
3, CIN,1,17,29,58.6,209,7.2,209,2,1,2,Wild Card,3,1,17,209,7.2,209,2,2,1,11,1,35,155,4.4,155,0,2,1,12,1,32,23,71.9,183,5.7,183,1,0,4,12,1,23,183,5.7,183,1,2,1,11,1,18,51,2.8,51,1,2,1,9,1,1,1,100.0,2,1,50.0,3,1,3,151,50.3,0,2,9,4.5,9,1,2,42,21.0,26,0,2,9,4.5,5,0
4, SF,1,25,35,71.4,228,6.5,228,2,1,3,Wild Card,4,1,25,228,6.5,228,2,1,1,6,1,25,104,4.2,104,1,1,1,2,1,30,18,60.0,324,10.8,324,3,0,1,2,1,18,324,10.8,324,3,0,0,1,1,33,181,5.5,181,1,0,0,1,1,4,4,100.0,3,3,100.0,1,1,1,57,57.0,0,1,16,16.0,1,1,0,0,,0,0,1,16,16.0,16,0
5, JAX,1,25,43,58.1,253,5.9,253,1,0,3,Wild Card,5,1,25,253,5.9,253,1,1,0,5,1,23,67,2.9,67,2,1,0,6,1,47,28,59.6,273,5.8,273,4,4,2,6,1,28,273,5.8,273,4,1,1,5,1,21,117,5.6,117,0,1,1,6,1,1,1,100.0,2,2,100.0,11,1,3,124,41.3,0,2,4,2.0,3,1,5,140,28.0,52,0,2,4,2.0,4,0
6, NYG,1,32,40,80.0,271,6.8,271,2,0,0,Wild Card,6,1,32,271,6.8,271,2,1,0,4,1,16,61,3.8,61,1,1,0,5,1,35,24,68.6,289,8.3,289,2,0,3,5,1,24,289,8.3,289,2,1,0,3,1,30,142,4.7,142,2,1,0,8,1,1,1,100.0,4,4,100.0,9,1,2,90,45.0,0,2,17,8.5,11,1,1,19,19.0,24,0,2,17,8.5,10,0
7, LAC,1,28,47,59.6,273,5.8,273,4,4,2,Wild Card,7,1,28,273,5.8,273,4,1,1,8,1,21,117,5.6,117,0,1,1,8,1,43,25,58.1,253,5.9,253,1,0,3,8,1,25,253,5.9,253,1,1,0,8,1,23,67,2.9,67,2,1,0,2,1,3,4,75.0,3,3,100.0,12,1,5,203,40.6,0,0,0,,12,1,3,51,17.0,20,0,0,0,,0,0
8, MIN,1,24,35,68.6,289,8.3,289,2,0,3,Wild Card,8,1,24,289,8.3,289,2,1,0,10,1,30,142,4.7,142,2,1,0,7,1,40,32,80.0,271,6.8,271,2,0,0,7,1,32,271,6.8,271,2,1,0,9,1,16,61,3.8,61,1,1,0,10,1,1,1,100.0,3,3,100.0,2,1,3,164,54.7,0,1,0,0.0,5,1,1,24,24.0,24,0,1,0,0.0,0,0
9, TB,1,25,33,75.8,297,9.0,297,4,0,1,Wild Card,9,1,25,297,9.0,297,4,0,0,9,1,35,128,3.7,128,1,0,0,1,1,66,35,53.0,334,5.1,334,2,1,2,1,1,35,334,5.1,334,2,2,0,10,1,12,52,4.3,52,0,2,0,11,1,0,0,,0,0,,4,1,5,245,49.0,0,3,34,11.3,10,1,3,58,19.3,24,0,3,34,11.3,14,0
10, MIA,1,23,39,59.0,316,8.1,316,3,2,7,Wild Card,10,1,23,316,8.1,316,3,4,1,7,1,26,107,4.1,107,1,4,1,11,1,45,18,40.0,189,4.2,189,1,2,4,11,1,18,189,4.2,189,1,0,0,12,1,20,42,2.1,42,1,0,0,3,1,3,3,100.0,2,2,100.0,10,1,6,262,43.7,0,2,53,26.5,7,1,1,23,23.0,23,0,2,53,26.5,50,0
11, SEA,1,18,30,60.0,324,10.8,324,3,0,1,Wild Card,11,1,18,324,10.8,324,3,0,0,12,1,33,181,5.5,181,1,0,0,9,1,35,25,71.4,228,6.5,228,2,1,3,9,1,25,228,6.5,228,2,1,1,7,1,25,104,4.2,104,1,1,1,7,1,1,1,100.0,2,2,100.0,5,1,4,194,48.5,0,1,0,0.0,6,1,7,164,23.4,37,0,1,0,0.0,0,0
12, DAL,1,35,66,53.0,334,5.1,334,2,1,2,Wild Card,12,1,35,334,5.1,334,2,2,0,3,1,12,52,4.3,52,0,2,0,4,1,33,25,75.8,297,9.0,297,4,0,1,4,1,25,297,9.0,297,4,0,0,4,1,35,128,3.7,128,1,0,0,12,1,0,0,,5,1,20.0,8,1,4,189,47.3,0,2,7,3.5,2,1,1,35,35.0,35,0,2,7,3.5,7,0
1, PHI,1,15,27,55.6,109,4.0,109,0,1,5,Divisional,1,1,15,109,4.0,109,0,1,0,4,1,20,118,5.9,118,1,1,0,7,1,24,16,66.7,148,6.2,148,2,0,1,7,1,16,148,6.2,148,2,1,0,1,1,44,268,6.1,268,3,1,0,7,1,1,1,100.0,5,5,100.0,6,1,3,129,43.0,0,0,0,,1,1,0,0,,0,0,0,0,,0,0
2, NYG,1,16,24,66.7,148,6.2,148,2,0,1,Divisional,2,1,16,148,6.2,148,2,1,0,8,1,44,268,6.1,268,3,1,0,8,1,27,15,55.6,109,4.0,109,0,1,5,8,1,15,109,4.0,109,0,1,0,5,1,20,118,5.9,118,1,1,0,8,1,0,0,,1,1,100.0,5,1,5,216,43.2,0,1,-3,-3.0,6,1,5,130,26.0,30,0,1,-3,-3.0,0,0
3, DAL,1,19,29,65.5,199,6.9,199,0,0,2,Divisional,3,1,19,199,6.9,199,0,1,1,3,1,32,113,3.5,113,1,1,1,4,1,37,23,62.2,206,5.6,206,1,2,1,4,1,23,206,5.6,206,1,0,0,7,1,22,76,3.5,76,0,0,0,5,1,2,2,100.0,1,0,0.0,3,1,4,187,46.8,0,0,0,,5,1,4,120,30.0,44,0,0,0,,0,0
4, KC,1,24,39,61.5,205,5.3,205,1,1,2,Divisional,4,1,24,205,5.3,205,1,1,1,6,1,19,144,7.6,144,1,1,1,3,1,37,27,73.0,218,5.9,218,3,0,0,3,1,27,218,5.9,218,3,0,0,4,1,30,144,4.8,144,0,0,0,2,1,2,2,100.0,3,3,100.0,1,1,4,203,50.8,0,3,23,7.7,2,1,0,0,,0,0,3,23,7.7,11,0
5, SF,1,23,37,62.2,206,5.6,206,1,2,1,Divisional,5,1,23,206,5.6,206,1,0,0,2,1,22,76,3.5,76,0,0,0,6,1,29,19,65.5,199,6.9,199,0,0,2,6,1,19,199,6.9,199,0,1,1,6,1,32,113,3.5,113,1,1,1,1,1,4,4,100.0,1,1,100.0,7,1,4,164,41.0,0,2,17,8.5,3,1,1,53,53.0,53,0,2,17,8.5,13,0
6, JAX,1,27,37,73.0,218,5.9,218,3,0,0,Divisional,6,1,27,218,5.9,218,3,0,0,5,1,30,144,4.8,144,0,0,0,5,1,39,24,61.5,205,5.3,205,1,1,2,5,1,24,205,5.3,205,1,1,1,3,1,19,144,7.6,144,1,1,1,4,1,2,2,100.0,2,2,100.0,2,1,4,191,47.8,0,3,23,7.7,4,1,3,131,43.7,63,0,3,23,7.7,9,0
7, BUF,1,23,36,63.9,240,6.7,240,2,0,1,Divisional,7,1,23,240,6.7,240,2,0,0,7,1,34,172,5.1,172,1,0,0,1,1,42,25,59.5,262,6.2,262,0,1,1,1,1,25,262,6.2,262,0,0,0,8,1,19,63,3.3,63,1,0,0,6,1,1,1,100.0,1,1,100.0,4,1,4,179,44.8,0,0,0,,7,1,4,90,22.5,24,0,0,0,,0,0
