Off Pass Rank,Team,GP_pass,ATT,CMP,CMP%,PY,PYPA,PYPG,TD_pass,INT,SCK,Week,Off Rec Rank,GP_rec,REC,RY,YP,RYPG,TD_rec,FUM,FL,Off Rush Rank,GP,ATT_rush,CMP_rush,CMP%_rush,PY_rush,PYPA_rush,PYPG_rush,TD
1, TB,1,66,35,53.0,334,5.1,334,2,1,2,Wild Card,1,1,35,334,5.1,334,2,2,0,10,1,12,52,4.3,52,0,2,0
2, SF,1,30,18,60.0,324,10.8,324,3,0,1,Wild Card,2,1,18,324,10.8,324,3,0,0,1,1,33,181,5.5,181,1,0,0
3, BUF,1,39,23,59.0,316,8.1,316,3,2,7,Wild Card,3,1,23,316,8.1,316,3,4,1,6,1,26,107,4.1,107,1,4,1
4, DAL,1,33,25,75.8,297,9.0,297,4,0,1,Wild Card,4,1,25,297,9.0,297,4,0,0,4,1,35,128,3.7,128,1,0,0
5, NYG,1,35,24,68.6,289,8.3,289,2,0,3,Wild Card,5,1,24,289,8.3,289,2,1,0,3,1,30,142,4.7,142,2,1,0
6, JAX,1,47,28,59.6,273,5.8,273,4,4,2,Wild Card,6,1,28,273,5.8,273,4,1,1,5,1,21,117,5.6,117,0,1,1
7, MIN,1,40,32,80.0,271,6.8,271,2,0,0,Wild Card,7,1,32,271,6.8,271,2,1,0,9,1,16,61,3.8,61,1,1,0
8, LAC,1,43,25,58.1,253,5.9,253,1,0,3,Wild Card,8,1,25,253,5.9,253,1,1,0,8,1,23,67,2.9,67,2,1,0
9, SEA,1,35,25,71.4,228,6.5,228,2,1,3,Wild Card,9,1,25,228,6.5,228,2,1,1,7,1,25,104,4.2,104,1,1,1
10, BAL,1,29,17,58.6,209,7.2,209,2,1,2,Wild Card,10,1,17,209,7.2,209,2,2,1,2,1,35,155,4.4,155,0,2,1
11, MIA,1,45,18,40.0,189,4.2,189,1,2,4,Wild Card,11,1,18,189,4.2,189,1,0,0,12,1,20,42,2.1,42,1,0,0
12, CIN,1,32,23,71.9,183,5.7,183,1,0,4,Wild Card,12,1,23,183,5.7,183,1,2,1,11,1,18,51,2.8,51,1,2,1
1, BUF,1,42,25,59.5,262,6.2,262,0,1,1,Divisional,1,1,25,262,6.2,262,0,0,0,8,1,19,63,3.3,63,1,0,0
2, CIN,1,36,23,63.9,240,6.7,240,2,0,1,Divisional,2,1,23,240,6.7,240,2,0,0,2,1,34,172,5.1,172,1,0,0
3, KC,1,37,27,73.0,218,5.9,218,3,0,0,Divisional,3,1,27,218,5.9,218,3,0,0,4,1,30,144,4.8,144,0,0,0
4, DAL,1,37,23,62.2,206,5.6,206,1,2,1,Divisional,4,1,23,206,5.6,206,1,0,0,7,1,22,76,3.5,76,0,0,0
5, JAX,1,39,24,61.5,205,5.3,205,1,1,2,Divisional,5,1,24,205,5.3,205,1,1,1,3,1,19,144,7.6,144,1,1,1
6, SF,1,29,19,65.5,199,6.9,199,0,0,2,Divisional,6,1,19,199,6.9,199,0,1,1,6,1,32,113,3.5,113,1,1,1
7, PHI,1,24,16,66.7,148,6.2,148,2,0,1,Divisional,7,1,16,148,6.2,148,2,1,0,1,1,44,268,6.1,268,3,1,0
8, NYG,1,27,15,55.6,109,4.0,109,0,1,5,Divisional,8,1,15,109,4.0,109,0,1,0,5,1,20,118,5.9,118,1,1,0
1, KC,1,43,29,67.4,315,7.3,315,2,0,3,Conference Championship,1,1,29,315,7.3,315,2,2,1,4,1,20,42,2.1,42,0,2,1
2, CIN,1,41,26,63.4,238,5.8,238,1,2,5,Conference Championship,2,1,26,238,5.8,238,1,0,0,3,1,17,71,4.2,71,1,0,0
3, PHI,1,25,15,60.0,121,4.8,121,0,0,1,Conference Championship,3,1,15,121,4.8,121,0,0,0,1,1,44,148,3.4,148,4,0,0
4, SF,1,18,11,61.1,83,4.6,83,0,0,3,Conference Championship,4,1,11,83,4.6,83,0,3,3,2,1,24,81,3.4,81,1,3,3
1, PHI,1,38,27,71.1,302,7.9,302,1,0,2,Super Bowl,1,1,27,302,7.9,302,1,2,1,2,1,32,115,3.6,115,3,2,1
2, KC,1,27,21,77.8,182,6.7,182,3,0,0,Super Bowl,2,1,21,182,6.7,182,3,1,0,1,1,26,158,6.1,158,1,1,0
