Kick Rank,Team,GP_kicking,FGM,FGA,FG%,XPA,XPM,XP%,Week,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PB,PR,PRYDS,PRYPG,Return Rank,GP,KR,KRYDS,KRYPG,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRLNG,PRT
1, CLE,1,4,4,100.0,2,2,100.0,week 1,18,1,4,187,46.8,0,5,29,5.8,15,17,41,943,23.0,48,0,31,298,9.6,76,1
2, ATL,1,4,5,80.0,2,2,100.0,week 1,25,1,4,180,45.0,0,3,42,14.0,16,17,28,634,22.6,103,1,18,292,16.2,56,0
3, TB,1,4,5,80.0,1,1,100.0,week 1,10,1,3,152,50.7,0,3,28,9.3,25,18,31,653,21.1,54,0,41,425,10.4,24,0
4, PIT,1,3,4,75.0,2,2,100.0,week 1,16,1,8,388,48.5,0,1,20,20.0,23,17,24,510,21.3,89,0,27,160,5.9,24,0
5, DEN,1,3,4,75.0,1,1,100.0,week 1,32,1,1,36,36.0,0,1,3,3.0,32,17,24,420,17.5,29,0,37,308,8.3,30,0
6, MIN,1,3,3,100.0,2,2,100.0,week 1,19,1,5,232,46.4,0,1,7,7.0,6,18,37,944,25.5,97,1,27,167,6.2,25,0
7, JAX,1,3,4,75.0,1,1,100.0,week 1,13,1,3,150,50.0,0,1,2,2.0,2,19,37,992,26.8,63,0,34,257,7.6,22,0
8, CIN,1,2,3,66.7,1,0,0.0,week 1,6,1,3,158,52.7,0,5,31,6.2,27,19,36,741,20.6,42,0,38,379,10.0,27,0
9, LV,1,2,2,100.0,1,1,100.0,week 1,5,1,2,106,53.0,0,2,4,2.0,26,17,32,668,20.9,33,0,27,156,5.8,17,0
10, NO,1,2,3,66.7,1,1,100.0,week 1,3,1,5,272,54.4,0,1,12,12.0,19,17,27,595,22.0,33,0,27,243,9.0,42,0
11, HOU,1,2,2,100.0,2,2,100.0,week 1,24,1,7,318,45.4,0,0,0,,14,17,22,513,23.3,50,0,37,362,9.8,31,0
