Def Pass Rank,Team,GP_pass_def,CMP_def,ATT_def,CMP%_def,PYA,PYPA_def,PYPG_def,TD_pass_def,INT_def,SCK_def,Week,Def Rec Rank,GP_rec_def,REC_def,RY_def,YP_def,RYPG_def,TD_rec_def,FUM_def,FL_def,Def Rush Rank,GP_def,ATT_rush_def,RY_rush_def,YPC_def,RYPG_rush_def,TD_def,FUM_rush_def,FL_rush_def,Off Pass Rank,GP_pass_off,ATT_off,CMP_off,CMP%_off,PY,PYPA_off,PYPG_off,TD_pass_off,INT_off,SCK_off,Off Rec Rank,GP_rec_off,REC_off,RY_off,YP_off,RYPG_off,TD_rec_off,FUM_off,FL_off,Off Rush Rank,GP_off,ATT_rush_off,RY_rush_off,YPC_off,RYPG_rush_off,TD_off,FUM_rush_off,FL_rush_off,Kick Rank,GP_kicking,FGM,FGA,FG%,FG%_Missing,XPA,XPM,XP%,XP%_Missing,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PYPG_Missing,PB,PR,PRYDS,PRYPG,PRYPG_Missing,Return Rank,GP,KR,KRYDS,KRYPG,KRYPG_Missing,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRYPG_return_Missing,PRLNG,PRT,Win
1,SF,1,8,17,47.1,105,6.2,105,2,1,2,Week 1,1,1,8,105,6.2,105,2,0,0,15,1,37,99,2.7,99,1,0,0,30,1,28,13,46.4,155,5.5,155,0,1,2,30,1,13,155,5.5,155,0,2,1,7,1,37,176,4.8,176,1,2,1,23,1,1,1,100,0,1,1,100,0,30,1,4,161,40.3,0,0,2,23,11.5,0,7,20,30,759,25.3,0,53,0,38,406,10.7,0,35,0,0
2,CAR,1,18,34,52.9,138,4.1,138,1,0,1,Week 1,2,1,18,138,4.1,138,1,1,0,31,1,39,217,5.6,217,1,1,0,20,1,27,16,59.3,207,7.7,207,1,1,4,20,1,16,207,7.7,207,1,5,0,31,1,19,54,2.8,54,2,5,0,21,1,1,1,100,0,3,3,100,0,12,1,5,250,50,0,0,1,10,10,0,12,17,31,747,24.1,0,66,0,34,216,6.4,0,22,0,0
3,CHI,1,13,28,46.4,155,5.5,155,0,1,2,Week 1,3,1,13,155,5.5,155,0,2,1,26,1,37,176,4.8,176,1,2,1,32,1,17,8,47.1,105,6.2,105,2,1,2,32,1,8,105,6.2,105,2,0,0,18,1,37,99,2.7,99,1,0,0,28,1,0,0,0,1,3,1,33.3,0,21,1,6,277,46.2,0,0,1,0,0,0,3,17,38,996,26.2,0,63,0,23,197,8.6,0,27,0,1
4,TEN,1,17,21,81,156,7.4,156,2,1,5,Week 1,4,1,17,156,7.4,156,2,2,1,32,1,32,238,7.4,238,1,2,1,10,1,33,20,60.6,266,8.1,266,2,0,1,10,1,20,266,8.1,266,2,2,1,19,1,26,93,3.6,93,0,2,1,13,1,2,3,66.7,0,2,2,100,0,2,1,6,342,57,0,0,4,62,15.5,0,24,17,37,783,21.2,0,37,0,36,303,8.4,0,46,0,0
5,TB,1,21,42,50,173,4.1,173,0,1,4,Week 1,5,1,21,173,4.1,173,0,0,0,6,1,18,71,3.9,71,0,0,0,22,1,27,18,66.7,195,7.2,195,1,1,2,22,1,18,195,7.2,195,1,0,0,8,1,33,152,4.6,152,0,0,0,3,1,4,5,80,0,1,1,100,0,10,1,3,152,50.7,0,0,3,28,9.3,0,25,18,31,653,21.1,0,54,0,41,425,10.4,0,24,0,1
6,DEN,1,23,28,82.1,177,6.3,177,2,0,2,Week 1,6,1,23,177,6.3,177,2,3,1,8,1,19,76,4,76,0,3,1,3,1,42,29,69,330,7.9,330,1,0,2,3,1,29,330,7.9,330,1,2,2,16,1,20,103,5.2,103,0,2,2,5,1,3,4,75,0,1,1,100,0,32,1,1,36,36,0,0,1,3,3,0,32,17,24,420,17.5,0,29,0,37,308,8.3,0,30,0,0
7,KC,1,24,38,63.2,179,4.7,179,2,0,3,Week 1,7,1,24,179,4.7,179,2,3,0,16,1,22,103,4.7,103,1,3,0,1,1,39,30,76.9,360,9.2,360,5,0,0,1,1,30,360,9.2,360,5,5,1,11,1,27,128,4.7,128,1,5,1,25,1,1,1,100,0,6,5,83.3,0,4,1,2,108,54,0,0,5,44,8.8,0,29,19,39,755,19.4,0,48,0,42,305,7.3,0,29,0,1
8,BUF,1,29,41,70.7,191,4.7,191,1,3,7,Week 1,8,1,29,191,4.7,191,1,1,0,1,1,18,52,2.9,52,0,1,0,7,1,31,26,83.9,292,9.4,292,3,2,2,7,1,26,292,9.4,292,3,2,2,14,1,25,121,4.8,121,1,2,2,19,1,1,1,100,0,4,4,100,0,1,1,0,0,0,1,0,1,20,20,0,9,18,42,1054,25.1,0,101,2,32,293,9.2,0,28,0,1
9,CIN,1,21,38,55.3,192,5.1,192,1,0,1,Week 1,9,1,21,192,5.1,192,1,2,0,7,1,22,75,3.4,75,0,2,0,5,1,53,33,62.3,299,5.6,299,2,4,7,5,1,33,299,5.6,299,2,2,1,10,1,34,133,3.9,133,0,2,1,8,1,2,3,66.7,0,1,0,0,0,6,1,3,158,52.7,0,0,5,31,6.2,0,27,19,36,741,20.6,0,42,0,38,379,10,0,27,0,0
10,MIA,1,21,30,70,193,6.4,193,1,1,2,Week 1,10,1,21,193,6.4,193,1,2,2,11,1,22,78,3.5,78,0,2,2,13,1,33,23,69.7,242,7.3,242,1,0,3,13,1,23,242,7.3,242,1,2,0,28,1,23,65,2.8,65,0,2,0,14,1,2,2,100,0,2,2,100,0,22,1,4,183,45.8,0,0,0,0,0,1,30,18,30,572,19.1,0,31,0,21,164,7.8,0,50,0,1
11,DAL,1,18,27,66.7,195,7.2,195,1,1,2,Week 1,11,1,18,195,7.2,195,1,0,0,25,1,33,152,4.6,152,0,0,0,28,1,42,21,50,173,4.1,173,0,1,4,28,1,21,173,4.1,173,0,0,0,27,1,18,71,3.9,71,0,0,0,15,1,1,1,100,0,0,0,0,1,9,1,5,254,50.8,0,0,1,3,3,0,8,19,27,681,25.2,0,63,0,31,310,10,0,52,0,0
12,PHI,1,21,37,56.8,205,5.5,205,2,1,1,Week 1,12,1,21,205,5.5,205,2,1,0,28,1,28,181,6.5,181,3,1,0,14,1,32,18,56.3,239,7.5,239,0,0,1,14,1,18,239,7.5,239,0,0,0,3,1,39,216,5.5,216,4,0,0,18,1,1,1,100,0,5,5,100,0,23,1,3,137,45.7,0,0,2,13,6.5,0,17,19,31,692,22.3,0,66,0,35,323,9.2,0,27,0,1
13,CLE,1,16,27,59.3,207,7.7,207,1,1,4,Week 1,13,1,16,207,7.7,207,1,5,0,2,1,19,54,2.8,54,2,5,0,31,1,34,18,52.9,138,4.1,138,1,0,1,31,1,18,138,4.1,138,1,1,0,2,1,39,217,5.6,217,1,1,0,1,1,4,4,100,0,2,2,100,0,18,1,4,187,46.8,0,0,5,29,5.8,0,15,17,41,943,23,0,48,0,31,298,9.6,0,76,1,1
14,NYJ,1,17,30,56.7,211,7,211,3,1,2,Week 1,14,1,17,211,7,211,3,1,0,3,1,21,63,3,63,0,1,0,6,1,59,37,62.7,297,5,297,1,1,3,6,1,37,297,5,297,1,2,1,21,1,17,83,4.9,83,0,2,1,16,1,1,2,50,0,1,0,0,0,29,1,6,253,42.2,0,0,2,30,15,0,22,17,31,672,21.7,0,42,0,21,240,11.4,0,22,0,0
