Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Winner Pts,Loser Pts,YdsW,TOW,YdsL,TOL,Tie
WildCard,Sat,1/14/2023,4:30PM,SF,,SEA,41,23,505,0,332,2,No
WildCard,Sat,1/14/2023,8:15PM,JAX,,LAC,31,30,390,5,320,0,No
WildCard,Sun,1/15/2023,1:00PM,BUF,,MIA,34,31,423,3,231,2,No
WildCard,Sun,1/15/2023,4:30PM,NYG,@,MIN,31,24,431,0,332,0,No
WildCard,Sun,1/15/2023,8:15PM,CIN,,BAL,24,17,234,1,364,2,No
WildCard,Mon,1/16/2023,8:15PM,DAL,@,TB,31,14,425,0,386,1,No
Divisional,Sat,1/21/2023,4:30PM,KC,,JAX,27,20,362,0,349,2,No
Divisional,Sat,1/21/2023,8:15PM,PHI,,NYG,38,7,416,0,227,1,No
Divisional,Sun,1/22/2023,3:00PM,CIN,@,BUF,27,10,412,0,325,1,No
Divisional,Sun,1/22/2023,6:30PM,SF,,DAL,19,12,312,1,282,2,No
Conference Championship,Sun,1/29/2023,3:00PM,PHI,,SF,31,7,269,0,164,3,No
Conference Championship,Sun,1/29/2023,6:30PM,KC,,CIN,23,20,357,1,309,2,No
Super Bowl,Sun,2/12/2023,6:30PM,KC,N,PHI,38,35,340,0,417,1,No
