Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Winner Pts,Loser Pts,YdsW,TOW,YdsL,TOL,Tie
week 1,Thu,9/8/2022,8:20PM,BUF,@,LAR,31,10,413,4,243,3,No
week 1,Sun,9/11/2022,1:00PM,NO,@,ATL,27,26,385,1,416,2,No
week 1,Sun,9/11/2022,1:00PM,CLE,@,CAR,26,24,355,0,261,1,No
week 1,Sun,9/11/2022,1:00PM,CHI,,SF,19,10,204,1,331,2,No
week 1,Sun,9/11/2022,1:00PM,PIT,@,CIN,23,20,267,0,432,5,No
week 1,Sun,9/11/2022,1:00PM,HOU,,IND,20,20,299,1,517,2,Yes
week 1,Sun,9/11/2022,1:00PM,PHI,@,DET,38,35,455,0,386,1,No
week 1,Sun,9/11/2022,1:00PM,WAS,,JAX,28,22,390,3,383,1,No
week 1,Sun,9/11/2022,1:00PM,MIA,,NE,20,7,307,0,271,3,No
week 1,Sun,9/11/2022,1:00PM,BAL,@,NYJ,24,9,274,1,380,2,No
week 1,Sun,9/11/2022,4:25PM,KC,@,ARI,44,21,488,1,282,0,No
week 1,Sun,9/11/2022,4:25PM,MIN,,GB,23,7,395,0,338,2,No
week 1,Sun,9/11/2022,4:25PM,NYG,@,TEN,21,20,394,2,359,1,No
week 1,Sun,9/11/2022,4:25PM,LAC,,LV,24,19,355,0,320,3,No
week 1,Sun,9/11/2022,8:20PM,TB,@,DAL,19,3,347,1,244,1,No
week 1,Mon,9/12/2022,8:20PM,SEA,,DEN,17,16,253,1,433,2,No
week 2,Thu,9/15/2022,8:15PM,KC,,LAC,27,24,319,0,401,1,No
week 2,Sun,9/18/2022,1:00PM,NYG,,CAR,19,16,265,0,275,2,No
week 2,Sun,9/18/2022,1:00PM,NYJ,@,CLE,31,30,402,1,405,1,No
week 2,Sun,9/18/2022,1:00PM,JAX,,IND,24,0,331,0,218,3,No
week 2,Sun,9/18/2022,1:00PM,DET,,WAS,36,27,425,0,396,1,No
week 2,Sun,9/18/2022,1:00PM,MIA,@,BAL,42,38,547,2,473,0,No
week 2,Sun,9/18/2022,1:00PM,TB,@,NO,20,10,260,1,308,5,No
week 2,Sun,9/18/2022,1:00PM,NE,@,PIT,17,14,376,1,243,2,No
week 2,Sun,9/18/2022,4:05PM,LAR,,ATL,31,27,337,3,261,3,No
week 2,Sun,9/18/2022,4:05PM,SF,,SEA,27,7,373,0,216,3,No
week 2,Sun,9/18/2022,4:25PM,DAL,,CIN,20,17,337,1,254,0,No
week 2,Sun,9/18/2022,4:25PM,ARI,@,LV,29,23,413,1,324,1,No
week 2,Sun,9/18/2022,4:25PM,DEN,,HOU,16,9,350,1,234,0,No
week 2,Sun,9/18/2022,8:20PM,GB,,CHI,27,10,414,1,228,1,No
week 2,Mon,9/19/2022,7:15PM,BUF,,TEN,41,7,414,0,187,4,No
week 2,Mon,9/19/2022,8:30PM,PHI,,MIN,24,7,486,1,264,3,No
week 3,Thu,9/22/2022,8:15PM,CLE,,PIT,29,17,376,0,308,1,No
week 3,Sun,9/25/2022,1:00PM,MIA,,BUF,21,19,212,0,497,1,No
week 3,Sun,9/25/2022,1:00PM,CAR,,NO,22,14,293,0,426,3,No
week 3,Sun,9/25/2022,1:00PM,CHI,,HOU,23,20,363,2,329,2,No
week 3,Sun,9/25/2022,1:00PM,CIN,@,NYJ,27,12,330,1,328,4,No
week 3,Sun,9/25/2022,1:00PM,IND,,KC,20,17,259,1,315,2,No
week 3,Sun,9/25/2022,1:00PM,MIN,,DET,28,24,373,1,416,1,No
week 3,Sun,9/25/2022,1:00PM,BAL,@,NE,37,26,394,2,447,4,No
week 3,Sun,9/25/2022,1:00PM,TEN,,LV,24,22,361,1,396,1,No
week 3,Sun,9/25/2022,1:00PM,PHI,@,WAS,24,8,400,0,240,1,No
week 3,Sun,9/25/2022,4:05PM,JAX,@,LAC,38,10,413,0,312,2,No
week 3,Sun,9/25/2022,4:25PM,ATL,@,SEA,27,23,386,2,420,1,No
week 3,Sun,9/25/2022,4:25PM,LAR,@,ARI,20,12,339,1,365,0,No
week 3,Sun,9/25/2022,4:25PM,GB,@,TB,14,12,315,2,285,2,No
week 3,Sun,9/25/2022,8:20PM,DEN,,SF,11,10,261,0,267,3,No
week 3,Mon,9/26/2022,8:15PM,DAL,@,NYG,23,16,391,0,336,1,No
week 4,Thu,9/29/2022,8:15PM,CIN,,MIA,27,15,371,0,378,2,No
week 4,Sun,10/2/2022,9:30AM,MIN,@,NO,28,25,344,1,338,2,No
week 4,Sun,10/2/2022,1:00PM,ATL,,CLE,23,20,333,1,403,2,No
week 4,Sun,10/2/2022,1:00PM,BUF,@,BAL,23,20,326,2,296,2,No
week 4,Sun,10/2/2022,1:00PM,NYG,,CHI,20,12,333,2,304,3,No
week 4,Sun,10/2/2022,1:00PM,TEN,@,IND,24,17,243,0,365,3,No
week 4,Sun,10/2/2022,1:00PM,DAL,,WAS,25,10,279,0,297,2,No
week 4,Sun,10/2/2022,1:00PM,SEA,@,DET,48,45,555,1,520,2,No
week 4,Sun,10/2/2022,1:00PM,LAC,@,HOU,34,24,419,1,346,2,No
week 4,Sun,10/2/2022,1:00PM,PHI,,JAX,29,21,401,1,219,5,No
week 4,Sun,10/2/2022,1:00PM,NYJ,@,PIT,24,20,348,2,297,4,No
week 4,Sun,10/2/2022,4:05PM,ARI,@,CAR,26,16,338,1,220,3,No
week 4,Sun,10/2/2022,4:25PM,LV,,DEN,32,23,385,0,299,1,No
week 4,Sun,10/2/2022,4:25PM,GB,,NE,27,24,443,2,271,1,No
