,Def Pass Rank,CMP_def,ATT_def,CMP%_def,PYA,PYPA_def,PYPG_def,TD_pass_def,INT_def,SCK_def,Def Rec Rank,REC_def,RY_def,YP_def,RYPG_def,TD_rec_def,FUM_def,FL_def,Def Rush Rank,ATT_rush_def,RY_rush_def,YPC_def,RYPG_rush_def,TD_def,FUM_rush_def,FL_rush_def,Off Pass Rank,ATT_off,CMP_off,CMP%_off,PY,PYPA_off,PYPG_off,TD_pass_off,INT_off,SCK_off,Off Rec Rank,REC_off,RY_off,YP_off,RYPG_off,TD_rec_off,FUM_off,FL_off,Off Rush Rank,ATT_rush_off,RY_rush_off,YPC_off,RYPG_rush_off,TD_off,FUM_rush_off,FL_rush_off,Kick Rank,FGM,FGA,FG%,FG%_Missing,XPA,XPM,XP%,XP%_Missing,Punt Rank,PUNTS,PYDS,PYPG,PYPG_Missing,PB,PR,PRYDS,PRYPG,PRYPG_Missing,Return Rank,KR,KRYDS,KRYPG,KRYPG_Missing,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRYPG_return_Missing,PRLNG,PRT
Def Pass Rank,1.0,0.6908250021722219,0.6281183741067569,0.30602760339291046,0.9365889580317979,0.629303730489259,0.9365889580317979,0.48390150123966097,0.10476384896409303,-0.23313209168154866,0.9995939273220301,0.6908250021722219,0.9365889580317979,0.6293647226108857,0.9365889580317979,0.48390150123966097,0.020730922539885004,0.09542480248072688,-0.2765671611099868,-0.26692346570865955,-0.3071544029638203,-0.19861632227765746,-0.3071544029638203,-0.04915017425001871,0.020730922539885004,0.09542480248072688,0.012358461356096405,-0.0198335929329607,-0.007644073243190346,0.02168392186743751,0.012192400227159223,0.03296637825122852,0.012192400227159223,0.18682238537098864,-0.06121721656635669,0.01508586122229078,0.01345646257429635,-0.007644073243190346,0.012192400227159223,0.03260665171120066,0.012192400227159223,0.18682238537098864,-0.006267830208511715,-0.045412264108376586,0.014005401396264092,-0.08107555797422798,0.02499824982665644,0.12073606730534836,0.02499824982665644,0.029098665275003308,-0.006267830208511715,-0.045412264108376586,0.06445134677720452,-0.018878464672591425,-0.07286442957565983,0.015865583241775994,0.06737996129128117,0.14117644789904576,0.14139136656057202,0.06943423898299463,-0.04809735334268934,-0.09977605595620213,-0.013283950482574665,0.0185111052538005,0.08998258202086255,-0.00017205132596906058,-0.07033030229056567,-0.17492641863696928,-0.13166405777680767,-0.04401809362198202,0.08222573449715086,0.026776249086293485,0.05651504801481186,0.05710563740685723,0.06285574365686498,-0.04080897626940268,0.07380323003043504,0.05176048269966587,-0.012287749389694657,-0.024532860243921685,-0.030033142424770752,0.06485173476778586,-0.043025014745046455,-0.0014598531296853114
CMP_def,0.6908250021722219,1.0,0.887651490603344,0.46641997320586615,0.7559858499816701,0.1420533420018494,0.7559858499816701,0.3223207146225879,0.07752318653052526,0.004870016891657763,0.6913822846916957,1.0,0.7559858499816701,0.14211821951837159,0.7559858499816701,0.3223207146225879,0.013448404069296012,0.08601616138819881,-0.4086427041148386,-0.41553802542499085,-0.4288268234256649,-0.25715998614157026,-0.4288268234256649,-0.14132266454749376,0.013448404069296012,0.08601616138819881,-0.013274358624378086,-0.10834011059150676,-0.08888390585748213,0.01769518599906616,0.02058321194803385,0.13260975102711445,0.02058321194803385,0.14151386948585173,-0.10408759204958692,-0.04490002969566345,-0.011076010727576269,-0.08888390585748213,0.02058321194803385,0.13245997552500577,0.02058321194803385,0.14151386948585173,0.008429107498236482,-0.01762226125319313,-0.0107485163496503,-0.08693129737564963,0.005072996253206592,0.10416829474855711,0.005072996253206592,0.08137224739875058,0.008429107498236482,-0.01762226125319313,0.028262676182330394,-0.0035543356482743145,-0.038585357900023314,-0.014110915406271567,0.06070200984203489,0.16388567581662977,0.166688598897296,0.07347839313306198,-0.049150310721390277,-0.07221888114549375,0.030508781855642104,0.04903559753205635,0.04912182079861689,0.027951601734251985,-0.08139050605799555,-0.0714626739163505,-0.06766794214376505,-0.035515005328004855,0.023464207218891607,0.00043054104269197213,0.06118260492982706,0.06073769497347723,0.012611321344482137,0.015121583109451399,0.05877965116176169,0.11042933156747099,0.035062438371215275,0.016495559650632725,-0.03386277856526075,0.012654251211308445,-0.018604775346371134,-0.07362654545191667
ATT_def,0.6281183741067569,0.887651490603344,1.0,0.0269504583785697,0.6796225455434879,-0.07363480079262814,0.6796225455434879,0.20836802528826392,0.1800177428375825,0.029774768359147576,0.6277460752576935,0.887651490603344,0.6796225455434879,-0.07355205291183718,0.6796225455434879,0.20836802528826392,0.029632512212523936,0.08717522151421477,-0.4540634428441657,-0.5000304800286439,-0.4720629813896571,-0.2414851505275342,-0.4720629813896571,-0.2737799630593978,0.029632512212523936,0.08717522151421477,-0.010222599866393097,-0.10811015418898123,-0.08138332153733714,0.03664016764657669,0.016773293431492,0.1370624662525834,0.016773293431492,0.1310777061031621,-0.13452684008223587,-0.07072981847394985,-0.007706135167543409,-0.08138332153733714,0.016773293431492,0.1368269940226923,0.016773293431492,0.1310777061031621,-0.020914746539145455,-0.06860358480716405,-0.07462845445225394,0.0263454235529867,0.058431533962132014,0.08368161653825856,0.058431533962132014,0.11909804696240153,-0.020914746539145455,-0.06860358480716405,-0.04837709896673721,0.06968272693007828,0.0457087299164741,0.030673920385941352,-0.002263209381217372,0.20940434815995734,0.21303553107028553,0.12081831005854189,-0.10078423394743748,-0.06070351699168054,0.09785665736846588,0.11466055189044225,0.048941883054925965,0.025535320462890143,-0.07883518367648361,0.01274949645543611,0.004305066864070164,-0.01581871476915601,0.011864875709681807,-0.01853359223215676,0.05735109564298917,0.05779098482754281,-0.021729154152312236,0.051855795628862965,0.030352973902323135,0.08727373576210402,0.05960105519530909,0.04879233027757167,-0.01799979139943121,0.005673214001185268,0.0040211226186713895,-0.04034409207236788
CMP%_def,0.30602760339291046,0.46641997320586615,0.0269504583785697,1.0,0.3468543507042756,0.4768885889801695,0.3468543507042756,0.27662041108595525,-0.16124589423972432,-0.050920224757924695,0.3077771573221225,0.46641997320586615,0.3468543507042756,0.47694673775117225,0.3468543507042756,0.27662041108595525,-0.023098804844648498,0.03336318868124825,-0.012691427096734174,0.058410505689488856,-0.02207124181921918,-0.08520010360237648,-0.02207124181921918,0.22729878801502043,-0.023098804844648498,0.03336318868124825,-0.014613981324305095,-0.021498119088468572,-0.030434876111575377,-0.03336222496415102,0.010564541398400877,0.014129582145985661,0.010564541398400877,0.06077928096767535,0.04615019455721847,0.03360496655331872,-0.014657054418951647,-0.030434876111575377,0.010564541398400877,0.01418920510145635,0.010564541398400877,0.06077928096767535,0.04336218836915248,0.0788088151868294,0.13044861640006258,-0.23639548242983846,-0.11112245115236256,0.04661449727552906,-0.11112245115236256,-0.05314100384432508,0.04336218836915248,0.0788088151868294,0.14120560643890814,-0.12713541787841576,-0.16287214708138034,-0.08196541003949995,0.14080639242616227,-0.040904474578010004,-0.0401503110629381,-0.06802475513399808,0.09430191140354098,-0.03995723290686866,-0.12162513335540917,-0.11314687073997728,0.011412903035295904,0.008151593400528716,-0.04174646053824381,-0.17795473456846778,-0.15165037559843117,-0.030852064099875145,0.025698200446279802,0.040580689486708434,0.030314063171992443,0.026399661599296798,0.07183769503782429,-0.07519121948720744,0.07551771865459575,0.058923114197965386,-0.03041490460400336,-0.05101670174247907,-0.02435716468801358,0.014382273613570492,-0.0475677035456482,-0.09460661578006445
PYA,0.9365889580317979,0.7559858499816701,0.6796225455434879,0.3468543507042756,1.0,0.6568430575208691,1.0,0.5074702603689213,0.08803137524291964,-0.22147421974371465,0.9366539907372812,0.7559858499816701,1.0,0.6568717230719898,1.0,0.5074702603689213,0.015026279747574244,0.09352825307009908,-0.30906592789930465,-0.3019142109438866,-0.3349899932711635,-0.21426781584247367,-0.3349899932711635,-0.016928979799226924,0.015026279747574244,0.09352825307009908,-0.0027029431965857366,-0.022329256879273035,-0.008391654504080024,0.02198169272155915,0.03761464345935817,0.06552424361414615,0.03761464345935817,0.1670786261057085,-0.07474677066887354,0.00023169228040286301,-0.0017004953157639087,-0.008391654504080024,0.03761464345935817,0.06531857707856119,0.03761464345935817,0.1670786261057085,-0.0044030248454263446,-0.04299842261938454,-0.01410535090537005,-0.07561749322179928,0.029752227736391308,0.1291010219900486,0.029752227736391308,0.05189700794956472,-0.0044030248454263446,-0.04299842261938454,0.04716365550378363,-0.006012374529599033,-0.05598995075151678,0.005799059393284293,0.07869029880430331,0.15074381741657467,0.14595643614204423,0.0496721150797728,-0.034510210940501614,-0.09514053670420239,-0.02569638383778706,0.004570348347694131,0.058815131767008644,0.018915533988217454,-0.07203068739573419,-0.1888733255202776,-0.1391108575990178,-0.049548491573368686,0.09553001478658632,0.007619253193334721,0.06788741124246715,0.06811193149975643,0.07056391647844469,-0.029684830071563806,0.08361366394594123,0.07259065412893304,-0.0003438963369125499,-0.010203465089672516,-0.03755426172622354,0.08080290718176271,-0.05007633727666221,-0.020507860042943492
PYPA_def,0.629303730489259,0.1420533420018494,-0.07363480079262814,0.4768885889801695,0.6568430575208691,1.0,0.6568430575208691,0.45188818125099045,-0.07033441097854977,-0.3331375929501741,0.6299065539876328,0.1420533420018494,0.6568430575208691,0.9999899715543694,0.6568430575208691,0.45188818125099045,-0.0031785310763078295,0.039419623482578735,0.043468112413718285,0.09503862899560127,0.022001529958803934,-0.04352135450396615,0.022001529958803934,0.25384040468816227,-0.0031785310763078295,0.039419623482578735,0.012431359539500163,0.08521141838948403,0.07052230584254889,-0.02148213201319587,0.030683579300755014,-0.06186593295164981,0.030683579300755014,0.09743566822138383,0.03578753754851964,0.0528845850271877,0.011070218267423463,0.07052230584254889,0.030683579300755014,-0.06194470810766604,0.030683579300755014,0.09743566822138383,-0.000834086836340769,0.005572260465279107,0.06885008618855892,-0.13253164011955004,-0.02900680633641702,0.07682384883781734,-0.02900680633641702,-0.05090440805525437,-0.000834086836340769,0.005572260465279107,0.12990089984885092,-0.08985467014391993,-0.13866147141724214,-0.035411953121843184,0.12861153680265805,-0.00889563019700455,-0.01932664434803002,-0.05017094445605752,0.050633976085793266,-0.05870663557835832,-0.12875979487403014,-0.10479650825822306,0.025590024822190603,-0.0030174553490398596,-0.029011202623764474,-0.2648252816504348,-0.1912830103397701,-0.03950461627793022,0.09957893350614733,0.05263962734109335,0.04586876846227789,0.042942931478263835,0.1068344834931309,-0.10645517321207082,0.08636143552895408,0.0071907852886388506,-0.05174537555152353,-0.05370862493918643,-0.02469329201717976,0.08725564905639671,-0.0744116966369514,-0.004381030627095817
PYPG_def,0.9365889580317979,0.7559858499816701,0.6796225455434879,0.3468543507042756,1.0,0.6568430575208691,1.0,0.5074702603689213,0.08803137524291964,-0.22147421974371465,0.9366539907372812,0.7559858499816701,1.0,0.6568717230719898,1.0,0.5074702603689213,0.015026279747574244,0.09352825307009908,-0.30906592789930465,-0.3019142109438866,-0.3349899932711635,-0.21426781584247367,-0.3349899932711635,-0.016928979799226924,0.015026279747574244,0.09352825307009908,-0.0027029431965857366,-0.022329256879273035,-0.008391654504080024,0.02198169272155915,0.03761464345935817,0.06552424361414615,0.03761464345935817,0.1670786261057085,-0.07474677066887354,0.00023169228040286301,-0.0017004953157639087,-0.008391654504080024,0.03761464345935817,0.06531857707856119,0.03761464345935817,0.1670786261057085,-0.0044030248454263446,-0.04299842261938454,-0.01410535090537005,-0.07561749322179928,0.029752227736391308,0.1291010219900486,0.029752227736391308,0.05189700794956472,-0.0044030248454263446,-0.04299842261938454,0.04716365550378363,-0.006012374529599033,-0.05598995075151678,0.005799059393284293,0.07869029880430331,0.15074381741657467,0.14595643614204423,0.0496721150797728,-0.034510210940501614,-0.09514053670420239,-0.02569638383778706,0.004570348347694131,0.058815131767008644,0.018915533988217454,-0.07203068739573419,-0.1888733255202776,-0.1391108575990178,-0.049548491573368686,0.09553001478658632,0.007619253193334721,0.06788741124246715,0.06811193149975643,0.07056391647844469,-0.029684830071563806,0.08361366394594123,0.07259065412893304,-0.0003438963369125499,-0.010203465089672516,-0.03755426172622354,0.08080290718176271,-0.05007633727666221,-0.020507860042943492
TD_pass_def,0.48390150123966097,0.3223207146225879,0.20836802528826392,0.27662041108595525,0.5074702603689213,0.45188818125099045,0.5074702603689213,1.0,-0.041733730222837676,-0.1283528415784228,0.4853212149300069,0.32232071462258793,0.5074702603689212,0.451828555408038,0.5074702603689212,1.0,-0.05171448802773465,0.014454344203968517,-0.09559853609879933,-0.14866750247791868,-0.09580604057885245,0.0012233280582425248,-0.09580604057885245,-0.17213825255074885,-0.05171448802773465,0.014454344203968517,-0.14949169410857996,0.10506361525079098,0.1194980395191076,0.05423561204808417,0.1453091545438609,0.08417756673630962,0.1453091545438609,0.21273413318200599,0.0775931319046364,0.009371183248552248,-0.14869783135332423,0.1194980395191076,0.1453091545438609,0.08421437328253867,0.1453091545438609,0.21273413318200599,0.0620842086794831,0.04818415455030816,-0.04446558521100114,-0.010427060426056746,0.07848345775632144,0.11707150239865208,0.07848345775632144,0.07028025668095324,0.0620842086794831,0.04818415455030816,0.0581949401911511,-0.05823618387963214,-0.08065130490562482,-0.044881460960479014,0.08714310279000405,0.15411425456815128,0.14072995038080544,0.05932000838014532,-0.0812052133355989,-0.09742721833906783,-0.1586476162394403,-0.12777253492802418,0.034308920888802504,0.05171268965205265,-0.057148766708632615,-0.11751371613124052,-0.11608060691379528,-0.061975035496145324,0.03247242575040853,0.03965924188818839,0.09017924951095109,0.09028994986973177,0.16787716828307944,-0.10259050249502276,0.14787017429670413,0.049648317614436936,0.04780021418319552,0.027310531563317406,-0.0501595133520776,0.0237136372930428,-0.05389481130989682,-0.054254613778832325
INT_def,0.10476384896409303,0.07752318653052526,0.1800177428375825,-0.16124589423972432,0.08803137524291964,-0.07033441097854977,0.08803137524291964,-0.041733730222837676,1.0,0.15544071092969913,0.10471896782858608,0.07752318653052526,0.08803137524291962,-0.07031659784626004,0.08803137524291962,-0.04173373022283765,0.037975907063925396,-0.007128258091883614,-0.14092702164870388,-0.16974694881573382,-0.13392099426112034,-0.02550953330533172,-0.13392099426112034,-0.13059395908411886,0.037975907063925396,-0.007128258091883614,0.06126794047440075,-0.14597271791367444,-0.12049226203387813,0.03951914073256868,-0.057819408304128246,0.06587207554880642,-0.057819408304128246,0.07944691436555362,-0.0630195005610232,-0.09516509939616274,0.06117673712260509,-0.12049226203387813,-0.057819408304128246,0.06579584652887238,-0.057819408304128246,0.07944691436555362,-0.014706881015828403,-0.08190050714529686,-0.08263990883504758,0.19340992902177054,0.0803102371816452,-0.04358621826277532,0.0803102371816452,0.12235894693262796,-0.014706881015828403,-0.08190050714529686,-0.09356020888930364,0.10493061709650521,0.0849669519839324,0.0895142633926724,-0.0781210628005342,0.2362695985182269,0.23841943767129983,0.11395550038756834,-0.0950839311364418,0.050200814815952864,-0.008494906081980794,-0.028366345057752464,-0.10480594386886186,0.10879684687399906,-0.03885761239679239,-0.06967746292883716,-0.03768711545994215,0.018336591496020474,0.03442607499106451,0.009208009728036138,0.002075325562959553,-0.002873054166850694,-0.03561882131789495,0.06181515575687853,-0.018319778142424473,0.09357406380601277,0.011577388200476726,0.007653701027531272,0.0012921099019321057,0.0182618658794109,-0.013619472628560702,-0.04168258048861299
SCK_def,-0.23313209168154866,0.004870016891657763,0.029774768359147576,-0.050920224757924695,-0.22147421974371465,-0.3331375929501741,-0.22147421974371465,-0.1283528415784228,0.15544071092969913,1.0,-0.23205647508583888,0.004870016891657762,-0.22147421974371465,-0.3330186373314552,-0.22147421974371465,-0.1283528415784228,0.19266268366173486,0.08310540062088874,-0.1435266907569451,-0.20991181423563388,-0.12442221584883523,0.021323514797444584,-0.12442221584883523,-0.19721283557351912,0.19266268366173486,0.08310540062088874,-0.07109916084208633,-0.060070684807296125,-0.04313369561569622,0.018919324560353317,0.029727345967702247,0.08648220905719305,0.029727345967702247,0.020376618270984685,-0.06934962640708445,-0.01507607734633628,-0.06967656773953117,-0.04313369561569622,0.029727345967702247,0.0865222615176521,0.029727345967702247,0.020376618270984685,0.02128306051408812,0.021956675073431818,-0.0016307567440499802,0.0871281876539614,0.0009276037699792637,-0.08280151858895637,0.0009276037699792637,0.07135931506739186,0.02128306051408812,0.021956675073431818,-0.10500992199418553,0.08467004803312235,0.09115263397858421,0.071538928066435,-0.09682872493672547,0.1373106628103845,0.14576330236411378,0.05750071230678905,-0.04951233068750094,-0.01869754625052061,0.1400071090799071,0.1315998459917797,-0.061887131726346876,0.10760898834506204,-0.011110355330332007,0.19621632301805772,0.173775560167011,0.11081955333694758,-0.11799791462638015,0.006899893309605066,-0.007193737834274978,-0.008108256203282293,-0.08888348974389419,0.06355130291026496,-0.021058395512770316,0.08759603822229657,0.0499673185397324,0.06258771636299719,0.09264837391853031,-0.12819531118083477,0.14165123412543512,0.04447583513912525
