,Correlation,P-value
Def Pass Rank,-0.07868818906084057,0.08278949353472494
CMP_def,0.019213757023157054,0.6723243755672216
ATT_def,0.17472586818821512,0.0001062708794521368
CMP%_def,-0.26893987698385174,1.6274175836195158e-09
PYA,-0.08897507810611588,0.049720991741444176
PYPA_def,-0.2933813791297397,4.013216788097382e-11
PYPG_def,-0.08897507810611588,0.049720991741444176
TD_pass_def,-0.22325645249896664,6.453187194760123e-07
INT_def,0.31180069380509634,1.930650610947375e-12
SCK_def,0.26876270741513203,1.6694958643063203e-09
Def Rec Rank,-0.07986040470372346,0.07829773111821842
REC_def,0.019213757023157054,0.6723243755672216
RY_def,-0.08897507810611588,0.049720991741444176
YP_def,-0.2933536395716019,4.030950189075464e-11
RYPG_def,-0.08897507810611588,0.049720991741444176
TD_rec_def,-0.22325645249896664,6.453187194760123e-07
FUM_def,0.22366705075098936,6.147377429220468e-07
FL_def,0.22902527670321243,3.234850037025753e-07
Def Rush Rank,-0.29839025305942535,1.7960950249253408e-11
ATT_rush_def,-0.4421123838553724,1.0106001961360384e-24
RY_rush_def,-0.2892542001891363,7.693270705703583e-11
YPC_def,-0.033033988538225,0.46702887754334144
RYPG_rush_def,-0.2892542001891363,7.693270705703583e-11
TD_def,-0.30050086715875346,1.2739724842358141e-11
FUM_rush_def,0.22366705075098936,6.147377429220468e-07
FL_rush_def,0.22902527670321243,3.234850037025753e-07
Off Pass Rank,-0.11466344603131406,0.01133311952990446
ATT_off,-0.13043020540873748,0.003935659733640714
CMP_off,0.017837601456255896,0.6945697116655335
CMP%_off,0.2763153835563531,5.530704444731273e-10
PY,0.12100658760154115,0.0075097770511130466
PYPA_off,0.29762409050492733,2.0331914963663077e-11
PYPG_off,0.12100658760154115,0.0075097770511130466
TD_pass_off,0.23576111164518554,1.4110458877630345e-07
INT_off,-0.30498138852234247,6.0877173037002615e-12
SCK_off,-0.2599416111815199,5.813106461041045e-09
Off Rec Rank,-0.11343677549538478,0.012245527781406718
REC_off,0.017837601456255896,0.6945697116655335
RY_off,0.12100658760154115,0.0075097770511130466
YP_off,0.29757709176137526,2.048690484647673e-11
RYPG_off,0.12100658760154115,0.0075097770511130466
TD_rec_off,0.23576111164518554,1.4110458877630345e-07
FUM_off,-0.24767600941955484,3.055838815675345e-08
FL_off,-0.22399733247966855,5.911540344505994e-07
Off Rush Rank,-0.2787872957234051,3.8240527045695463e-10
ATT_rush_off,0.4168294893023821,6.8341023612408e-22
RY_rush_off,0.27268493299438334,9.446244539460837e-10
YPC_off,0.03538865864401158,0.4358637789829882
RYPG_rush_off,0.27268493299438334,9.446244539460837e-10
TD_off,0.2960423459232299,2.62328442215379e-11
FUM_rush_off,-0.24767600941955484,3.055838815675345e-08
FL_rush_off,-0.22399733247966855,5.911540344505994e-07
Kick Rank,-0.15771556067733566,0.00047687130276930233
FGM,0.16638072687635475,0.0002260199957841915
FGA,0.15280753845227504,0.00071596084651379
FG%,0.09665191925214617,0.03297106935955832
XPA,0.4455997202038272,3.9374058493834112e-25
XPM,0.44795866711034565,2.0682670104878248e-25
XP%,0.23456969947531076,1.6370825750070103e-07
Punt Rank,-0.0005457267549697047,0.9904158875162702
PUNTS,-0.10516220251273417,0.02027587323443498
PYDS,-0.10628478279487537,0.018969890107740774
PYPG,-0.06579748711556398,0.1470964225002967
PB,-0.045267873021259265,0.31880389793841407
PR,0.10062701232962612,0.02637962549935091
PRYDS,0.11859279042247947,0.008802267022844056
PRYPG,0.09591888796532252,0.03432888698316607
Return Rank,-0.05797228436110077,0.20155865842743992
KR,-0.06814262811490424,0.13318539408570676
KRYDS,-0.06785575692492271,0.13483047333688178
KRYPG,-0.10257784684023619,0.023583146268213527
KRLNG,-0.06716661014378561,0.1388463800467144
KRT,0.05304902743115655,0.2426033222977295
PR_return,-0.008991317156427567,0.8431114282295435
PRYDS_return,-0.005589879095704128,0.902073966803884
PRYPG_return,0.08416464665336176,0.06347167971750098
PRLNG,0.07678035872169274,0.09054309283670904
PRT,0.020579202271879378,0.6505312125250373
